Timestamp,Machine ID,Operator ID,Engine Hours,Fuel Used (L),Load Cycle Time (min),Seatbelt Status,Safety Alert Triggered,Proximity Value (m),Weather,Terrain,Initial Fuel Level (L),Task Start Time,Task End Time,Task Type
2025-05-02 01:30,EXC002,Op101,1756.58,5.72,25,Unfastened,Yes,9.21,Rainy,Gravel,83.87,01:30,01:55,Transporting
2025-05-02 02:00,EXC002,Op101,1507.96,12.48,53,Fastened,Yes,9.82,Cloudy,Rocky,87.04,02:00,02:53,Drilling
2025-05-02 02:30,EXC003,Op100,1578.97,7.52,53,Fastened,No,4.97,Rainy,Gravel,60.09,02:30,03:23,Digging
2025-05-02 03:00,EXC002,Op100,1778.95,5.06,34,Unfastened,No,0.68,Sunny,Muddy,73.84,03:00,03:34,Digging
2025-05-02 03:30,EXC003,Op102,1514.63,12.05,57,Unfastened,No,4.0,Rainy,Smooth,52.92,03:30,04:27,Lifting
2025-05-02 04:00,EXC003,Op102,1655.79,8.25,40,Fastened,No,3.96,Cloudy,Muddy,86.9,04:00,04:40,Transporting
2025-05-02 04:30,EXC003,Op102,1609.44,5.92,29,Fastened,No,2.49,Sunny,Gravel,94.0,04:30,04:59,Drilling
2025-05-02 05:00,EXC002,Op101,1535.19,5.6,60,Fastened,No,9.57,Foggy,Rocky,77.21,05:00,06:00,Drilling
2025-05-02 05:30,EXC003,Op102,1650.57,10.38,29,Fastened,No,0.59,Cloudy,Smooth,84.0,05:30,05:59,Transporting
2025-05-02 06:00,EXC001,Op101,1627.99,14.83,34,Fastened,Yes,4.55,Rainy,Rocky,54.35,06:00,06:34,Transporting
2025-05-02 06:30,EXC001,Op102,1663.31,5.62,23,Fastened,Yes,0.89,Cloudy,Gravel,65.41,06:30,06:53,Leveling
2025-05-02 07:00,EXC001,Op100,1613.36,14.02,58,Fastened,Yes,1.88,Foggy,Smooth,65.91,07:00,07:58,Transporting
2025-05-02 07:30,EXC001,Op101,1548.08,12.79,43,Unfastened,Yes,2.87,Cloudy,Muddy,59.61,07:30,08:13,Lifting
2025-05-02 08:00,EXC002,Op102,1570.33,5.75,39,Fastened,No,0.65,Foggy,Smooth,51.67,08:00,08:39,Lifting
2025-05-02 08:30,EXC001,Op102,1520.19,6.71,21,Unfastened,Yes,3.78,Foggy,Gravel,98.27,08:30,08:51,Drilling
2025-05-02 09:00,EXC003,Op100,1542.05,11.06,30,Fastened,Yes,6.32,Cloudy,Rocky,51.75,09:00,09:30,Drilling
2025-05-02 09:30,EXC003,Op101,1618.79,6.02,44,Unfastened,No,8.86,Cloudy,Muddy,89.66,09:30,10:14,Transporting
2025-05-02 10:00,EXC002,Op101,1741.35,9.94,53,Unfastened,Yes,7.31,Sunny,Smooth,75.37,10:00,10:53,Leveling
2025-05-02 10:30,EXC001,Op101,1517.3,6.33,46,Fastened,No,5.12,Rainy,Smooth,56.15,10:30,11:16,Digging
2025-05-02 11:00,EXC003,Op101,1746.28,13.31,43,Fastened,Yes,6.82,Sunny,Gravel,84.09,11:00,11:43,Drilling
2025-05-02 11:30,EXC001,Op102,1734.97,10.14,30,Unfastened,No,5.21,Foggy,Gravel,58.53,11:30,12:00,Lifting
2025-05-02 12:00,EXC001,Op102,1691.98,10.16,53,Fastened,Yes,4.63,Sunny,Gravel,98.75,12:00,12:53,Leveling
2025-05-02 12:30,EXC001,Op102,1551.27,12.9,34,Unfastened,Yes,4.46,Sunny,Rocky,72.76,12:30,13:04,Digging
2025-05-02 13:00,EXC002,Op100,1699.33,6.49,37,Fastened,No,5.18,Sunny,Rocky,78.37,13:00,13:37,Lifting
2025-05-02 13:30,EXC001,Op102,1612.13,11.18,33,Fastened,Yes,1.04,Foggy,Gravel,67.0,13:30,14:03,Leveling
2025-05-02 14:00,EXC001,Op101,1539.47,13.73,50,Unfastened,No,3.26,Rainy,Rocky,81.07,14:00,14:50,Digging
2025-05-02 14:30,EXC003,Op101,1538.23,6.42,36,Fastened,Yes,6.87,Rainy,Rocky,82.25,14:30,15:06,Digging
2025-05-02 15:00,EXC001,Op101,1619.74,12.94,34,Unfastened,No,8.58,Sunny,Rocky,85.17,15:00,15:34,Transporting
2025-05-02 15:30,EXC002,Op101,1724.19,12.88,50,Fastened,No,3.98,Sunny,Rocky,79.32,15:30,16:20,Lifting
2025-05-02 16:00,EXC001,Op100,1580.34,10.19,43,Unfastened,Yes,7.67,Cloudy,Smooth,55.15,16:00,16:43,Leveling
2025-05-02 16:30,EXC002,Op100,1647.82,9.63,27,Fastened,Yes,4.63,Sunny,Rocky,86.76,16:30,16:57,Transporting
2025-05-02 17:00,EXC001,Op100,1729.82,11.24,20,Fastened,Yes,6.07,Cloudy,Smooth,84.63,17:00,17:20,Digging
2025-05-02 17:30,EXC002,Op101,1626.94,5.64,37,Unfastened,No,6.85,Sunny,Muddy,68.51,17:30,18:07,Transporting
2025-05-02 18:00,EXC001,Op100,1701.88,9.87,33,Fastened,Yes,6.19,Sunny,Smooth,68.88,18:00,18:33,Leveling
2025-05-02 18:30,EXC001,Op102,1556.38,12.58,37,Fastened,No,1.83,Rainy,Muddy,67.74,18:30,19:07,Transporting
2025-05-02 19:00,EXC003,Op102,1577.01,13.94,21,Unfastened,Yes,1.67,Foggy,Smooth,91.83,19:00,19:21,Leveling
2025-05-02 19:30,EXC002,Op102,1501.35,10.34,57,Unfastened,Yes,7.44,Rainy,Rocky,75.66,19:30,20:27,Transporting
2025-05-02 20:00,EXC003,Op101,1531.67,5.99,47,Fastened,Yes,4.94,Sunny,Smooth,59.15,20:00,20:47,Lifting
2025-05-02 20:30,EXC002,Op102,1543.37,13.85,54,Fastened,No,7.62,Foggy,Muddy,58.34,20:30,21:24,Lifting
2025-05-02 21:00,EXC001,Op100,1714.59,6.82,44,Unfastened,Yes,2.77,Cloudy,Smooth,69.55,21:00,21:44,Transporting
2025-05-02 21:30,EXC002,Op100,1679.21,12.52,38,Fastened,Yes,7.43,Foggy,Rocky,85.32,21:30,22:08,Drilling
2025-05-02 22:00,EXC003,Op100,1573.0,12.64,33,Unfastened,Yes,4.33,Cloudy,Rocky,62.97,22:00,22:33,Lifting
2025-05-02 22:30,EXC003,Op100,1708.35,9.54,60,Unfastened,Yes,2.79,Cloudy,Gravel,76.36,22:30,23:30,Lifting
2025-05-02 23:00,EXC003,Op100,1615.04,12.17,39,Fastened,Yes,3.32,Cloudy,Smooth,77.02,23:00,23:39,Digging
2025-05-02 23:30,EXC002,Op102,1716.94,9.84,27,Fastened,Yes,8.13,Foggy,Gravel,73.97,23:30,23:57,Lifting
2025-05-03 00:00,EXC001,Op101,1668.23,7.61,33,Unfastened,Yes,2.95,Foggy,Muddy,97.63,00:00,00:33,Digging
2025-05-03 00:30,EXC003,Op101,1517.79,7.93,42,Fastened,Yes,5.64,Cloudy,Smooth,73.71,00:30,01:12,Drilling
2025-05-03 01:00,EXC002,Op102,1635.26,14.29,36,Unfastened,No,4.42,Cloudy,Smooth,70.37,01:00,01:36,Drilling
2025-05-03 01:30,EXC003,Op102,1726.36,8.1,48,Fastened,Yes,4.47,Rainy,Rocky,86.75,01:30,02:18,Leveling
2025-05-03 02:00,EXC003,Op100,1707.62,6.43,22,Unfastened,Yes,1.88,Rainy,Muddy,58.19,02:00,02:22,Transporting
2025-05-03 02:30,EXC001,Op101,1551.72,14.95,31,Unfastened,No,9.06,Sunny,Smooth,97.32,02:30,03:01,Lifting
2025-05-03 03:00,EXC002,Op101,1725.88,6.59,38,Unfastened,Yes,3.66,Cloudy,Rocky,90.56,03:00,03:38,Lifting
2025-05-03 03:30,EXC001,Op102,1671.37,6.06,33,Fastened,No,5.77,Foggy,Rocky,75.59,03:30,04:03,Lifting
2025-05-03 04:00,EXC001,Op100,1768.02,11.77,52,Unfastened,No,8.97,Rainy,Rocky,61.18,04:00,04:52,Transporting
2025-05-03 04:30,EXC003,Op102,1799.22,11.61,39,Fastened,No,7.5,Foggy,Gravel,91.95,04:30,05:09,Transporting
2025-05-03 05:00,EXC001,Op100,1793.05,8.85,47,Unfastened,No,3.37,Sunny,Smooth,77.61,05:00,05:47,Transporting
2025-05-03 05:30,EXC001,Op102,1690.8,7.06,43,Unfastened,No,3.22,Foggy,Gravel,82.15,05:30,06:13,Drilling
2025-05-03 06:00,EXC001,Op100,1604.21,14.28,27,Unfastened,Yes,3.62,Sunny,Rocky,67.45,06:00,06:27,Lifting
2025-05-03 06:30,EXC001,Op100,1636.61,6.63,59,Unfastened,No,3.43,Foggy,Smooth,93.38,06:30,07:29,Lifting
2025-05-03 07:00,EXC001,Op100,1541.67,13.27,43,Fastened,Yes,0.04,Foggy,Muddy,61.21,07:00,07:43,Leveling
2025-05-03 07:30,EXC002,Op101,1701.33,5.91,24,Unfastened,Yes,9.96,Sunny,Gravel,84.62,07:30,07:54,Lifting
2025-05-03 08:00,EXC001,Op101,1704.92,9.37,40,Unfastened,No,9.51,Sunny,Gravel,92.71,08:00,08:40,Transporting
2025-05-03 08:30,EXC002,Op100,1796.92,8.67,33,Unfastened,No,5.93,Cloudy,Rocky,97.12,08:30,09:03,Transporting
2025-05-03 09:00,EXC002,Op101,1618.84,6.04,45,Unfastened,Yes,6.46,Sunny,Gravel,57.86,09:00,09:45,Drilling
2025-05-03 09:30,EXC002,Op100,1689.02,11.69,37,Unfastened,No,4.39,Cloudy,Smooth,64.84,09:30,10:07,Digging
2025-05-03 10:00,EXC001,Op102,1735.16,5.1,34,Unfastened,Yes,4.8,Foggy,Rocky,91.42,10:00,10:34,Drilling
2025-05-03 10:30,EXC001,Op102,1630.63,6.26,23,Unfastened,No,4.12,Foggy,Gravel,50.88,10:30,10:53,Lifting
2025-05-03 11:00,EXC001,Op100,1752.74,8.86,53,Fastened,No,1.21,Sunny,Smooth,82.4,11:00,11:53,Leveling
2025-05-03 11:30,EXC003,Op100,1734.2,7.38,27,Fastened,Yes,9.44,Cloudy,Smooth,90.24,11:30,11:57,Transporting
2025-05-03 12:00,EXC002,Op100,1517.53,7.79,59,Unfastened,No,9.61,Sunny,Muddy,98.05,12:00,12:59,Transporting
2025-05-03 12:30,EXC001,Op102,1663.86,11.45,29,Unfastened,Yes,5.32,Foggy,Smooth,95.04,12:30,12:59,Digging
2025-05-03 13:00,EXC003,Op101,1640.84,12.14,29,Unfastened,Yes,9.98,Foggy,Muddy,76.26,13:00,13:29,Digging
2025-05-03 13:30,EXC003,Op100,1545.54,9.5,28,Fastened,Yes,0.98,Cloudy,Smooth,80.94,13:30,13:58,Transporting
2025-05-03 14:00,EXC003,Op101,1653.57,12.82,23,Unfastened,Yes,8.44,Rainy,Muddy,79.76,14:00,14:23,Leveling
2025-05-03 14:30,EXC001,Op101,1604.48,8.67,50,Fastened,Yes,7.2,Rainy,Gravel,85.15,14:30,15:20,Leveling
2025-05-03 15:00,EXC003,Op101,1658.61,6.42,44,Unfastened,No,7.0,Sunny,Muddy,87.99,15:00,15:44,Leveling
2025-05-03 15:30,EXC002,Op102,1549.07,9.72,30,Fastened,Yes,3.66,Cloudy,Gravel,98.73,15:30,16:00,Digging
2025-05-03 16:00,EXC003,Op101,1582.78,8.55,39,Unfastened,Yes,9.72,Rainy,Rocky,70.22,16:00,16:39,Transporting
2025-05-03 16:30,EXC003,Op100,1778.25,6.35,41,Unfastened,Yes,1.93,Rainy,Rocky,68.1,16:30,17:11,Transporting
2025-05-03 17:00,EXC002,Op101,1723.8,8.63,40,Fastened,No,7.67,Cloudy,Smooth,72.67,17:00,17:40,Lifting
2025-05-03 17:30,EXC002,Op102,1721.29,6.92,59,Fastened,Yes,4.32,Cloudy,Smooth,87.48,17:30,18:29,Drilling
2025-05-03 18:00,EXC002,Op102,1715.45,6.7,42,Fastened,No,6.58,Sunny,Muddy,68.65,18:00,18:42,Transporting
2025-05-03 18:30,EXC002,Op102,1550.81,5.84,20,Unfastened,No,0.02,Rainy,Muddy,87.62,18:30,18:50,Drilling
2025-05-03 19:00,EXC002,Op102,1708.59,9.68,28,Unfastened,No,5.45,Foggy,Muddy,79.94,19:00,19:28,Digging
2025-05-03 19:30,EXC003,Op101,1778.8,8.93,57,Fastened,No,6.17,Cloudy,Gravel,60.82,19:30,20:27,Transporting
2025-05-03 20:00,EXC002,Op102,1697.16,7.05,29,Unfastened,Yes,9.83,Foggy,Gravel,72.96,20:00,20:29,Drilling
2025-05-03 20:30,EXC002,Op102,1612.3,12.64,30,Fastened,No,8.96,Sunny,Smooth,77.71,20:30,21:00,Drilling
2025-05-03 21:00,EXC002,Op100,1642.56,12.91,54,Fastened,Yes,3.33,Rainy,Rocky,60.81,21:00,21:54,Leveling
2025-05-03 21:30,EXC003,Op101,1651.67,8.19,53,Fastened,Yes,8.49,Sunny,Rocky,60.64,21:30,22:23,Leveling
2025-05-03 22:00,EXC002,Op100,1680.25,8.02,26,Fastened,No,9.77,Cloudy,Muddy,79.23,22:00,22:26,Transporting
2025-05-03 22:30,EXC003,Op100,1737.8,6.61,24,Unfastened,Yes,1.5,Sunny,Muddy,53.11,22:30,22:54,Lifting
2025-05-03 23:00,EXC001,Op102,1591.12,7.41,49,Fastened,Yes,7.09,Foggy,Rocky,56.66,23:00,23:49,Leveling
2025-05-03 23:30,EXC001,Op102,1604.96,7.07,37,Fastened,Yes,2.22,Rainy,Muddy,79.54,23:30,00:07,Lifting
2025-05-04 00:00,EXC002,Op102,1613.69,8.75,28,Unfastened,Yes,3.17,Sunny,Rocky,90.85,00:00,00:28,Digging
2025-05-04 00:30,EXC003,Op102,1678.08,13.89,33,Unfastened,No,5.48,Foggy,Gravel,85.92,00:30,01:03,Drilling
2025-05-04 01:00,EXC002,Op102,1604.25,12.96,24,Fastened,No,7.38,Foggy,Rocky,64.48,01:00,01:24,Leveling
2025-05-04 01:30,EXC002,Op102,1543.01,5.34,32,Fastened,Yes,5.02,Cloudy,Smooth,94.68,01:30,02:02,Digging
2025-05-04 02:00,EXC003,Op100,1757.36,8.82,31,Fastened,Yes,1.62,Sunny,Smooth,64.05,02:00,02:31,Leveling
2025-05-04 02:30,EXC003,Op101,1549.26,12.05,45,Fastened,Yes,3.74,Foggy,Gravel,75.01,02:30,03:15,Digging
2025-05-04 03:00,EXC002,Op101,1781.35,7.39,27,Fastened,Yes,0.94,Cloudy,Rocky,87.74,03:00,03:27,Digging
2025-05-04 03:30,EXC003,Op102,1565.46,14.93,44,Fastened,Yes,7.05,Rainy,Gravel,99.81,03:30,04:14,Drilling
2025-05-04 04:00,EXC003,Op100,1781.12,14.51,36,Unfastened,No,2.0,Cloudy,Muddy,65.97,04:00,04:36,Leveling
2025-05-04 04:30,EXC002,Op100,1640.45,12.74,54,Unfastened,No,4.98,Rainy,Smooth,65.28,04:30,05:24,Drilling
2025-05-04 05:00,EXC003,Op101,1679.72,12.25,35,Unfastened,No,5.7,Foggy,Gravel,78.03,05:00,05:35,Leveling
2025-05-04 05:30,EXC003,Op102,1668.49,10.35,42,Unfastened,Yes,4.57,Foggy,Gravel,59.89,05:30,06:12,Drilling
2025-05-04 06:00,EXC001,Op102,1576.74,12.07,48,Unfastened,Yes,5.29,Rainy,Muddy,67.58,06:00,06:48,Transporting
2025-05-04 06:30,EXC002,Op100,1727.19,5.14,58,Unfastened,Yes,6.37,Sunny,Gravel,90.32,06:30,07:28,Leveling
2025-05-04 07:00,EXC003,Op100,1675.03,14.78,28,Unfastened,Yes,4.61,Foggy,Muddy,88.89,07:00,07:28,Digging
2025-05-04 07:30,EXC003,Op101,1758.64,9.93,51,Unfastened,Yes,6.37,Foggy,Rocky,52.04,07:30,08:21,Drilling
2025-05-04 08:00,EXC002,Op100,1596.21,5.48,49,Unfastened,No,9.81,Cloudy,Smooth,81.69,08:00,08:49,Digging
2025-05-04 08:30,EXC001,Op102,1570.02,5.44,35,Unfastened,No,9.0,Foggy,Gravel,74.43,08:30,09:05,Lifting
2025-05-04 09:00,EXC003,Op101,1500.48,13.11,46,Fastened,No,2.33,Rainy,Smooth,79.31,09:00,09:46,Drilling
2025-05-04 09:30,EXC001,Op100,1588.89,14.34,24,Fastened,No,4.1,Cloudy,Muddy,78.13,09:30,09:54,Digging
2025-05-04 10:00,EXC001,Op100,1592.31,14.18,47,Fastened,Yes,3.07,Sunny,Smooth,70.91,10:00,10:47,Digging
2025-05-04 10:30,EXC001,Op102,1704.62,10.67,26,Fastened,No,4.64,Sunny,Muddy,95.8,10:30,10:56,Drilling
2025-05-04 11:00,EXC002,Op102,1749.08,6.84,50,Unfastened,Yes,2.3,Foggy,Rocky,81.7,11:00,11:50,Digging
2025-05-04 11:30,EXC003,Op102,1705.2,12.37,54,Fastened,Yes,3.57,Rainy,Muddy,51.49,11:30,12:24,Transporting
2025-05-04 12:00,EXC001,Op100,1759.41,11.01,55,Unfastened,Yes,2.23,Foggy,Gravel,69.18,12:00,12:55,Drilling
2025-05-04 12:30,EXC002,Op102,1643.86,12.01,42,Unfastened,Yes,0.67,Cloudy,Smooth,88.69,12:30,13:12,Leveling
2025-05-04 13:00,EXC001,Op101,1733.79,12.92,59,Unfastened,No,2.16,Foggy,Gravel,59.2,13:00,13:59,Lifting
2025-05-04 13:30,EXC002,Op100,1610.77,6.81,30,Fastened,No,2.92,Sunny,Muddy,65.96,13:30,14:00,Transporting
2025-05-04 14:00,EXC001,Op101,1662.69,14.13,36,Unfastened,Yes,0.13,Cloudy,Muddy,90.91,14:00,14:36,Drilling
2025-05-04 14:30,EXC001,Op101,1565.75,13.78,41,Unfastened,Yes,1.11,Foggy,Rocky,78.02,14:30,15:11,Lifting
2025-05-04 15:00,EXC003,Op100,1642.21,8.14,29,Unfastened,No,0.25,Rainy,Rocky,58.91,15:00,15:29,Drilling
2025-05-04 15:30,EXC002,Op102,1605.82,5.58,22,Fastened,No,3.01,Foggy,Muddy,96.07,15:30,15:52,Leveling
2025-05-04 16:00,EXC003,Op101,1588.88,13.52,56,Unfastened,Yes,8.19,Sunny,Gravel,64.73,16:00,16:56,Transporting
2025-05-04 16:30,EXC003,Op100,1708.02,10.93,29,Fastened,No,4.55,Cloudy,Smooth,79.94,16:30,16:59,Leveling
2025-05-04 17:00,EXC001,Op101,1629.79,5.7,21,Unfastened,No,6.63,Sunny,Rocky,85.1,17:00,17:21,Leveling
2025-05-04 17:30,EXC003,Op101,1683.42,9.27,27,Fastened,No,8.21,Sunny,Rocky,88.03,17:30,17:57,Leveling
2025-05-04 18:00,EXC002,Op102,1522.27,9.74,29,Fastened,No,1.45,Rainy,Smooth,56.99,18:00,18:29,Transporting
2025-05-04 18:30,EXC001,Op101,1717.63,6.82,22,Fastened,No,0.9,Foggy,Rocky,86.93,18:30,18:52,Leveling
2025-05-04 19:00,EXC002,Op102,1635.88,9.42,50,Fastened,Yes,4.35,Sunny,Rocky,53.05,19:00,19:50,Digging
2025-05-04 19:30,EXC003,Op102,1704.61,13.91,59,Unfastened,Yes,5.99,Rainy,Muddy,59.21,19:30,20:29,Leveling
2025-05-04 20:00,EXC002,Op101,1741.29,10.98,54,Unfastened,Yes,0.81,Sunny,Muddy,82.28,20:00,20:54,Transporting
2025-05-04 20:30,EXC002,Op100,1701.71,14.24,40,Unfastened,No,8.06,Cloudy,Smooth,50.86,20:30,21:10,Transporting
2025-05-04 21:00,EXC003,Op102,1798.75,8.81,27,Fastened,No,5.18,Cloudy,Muddy,86.38,21:00,21:27,Leveling
2025-05-04 21:30,EXC003,Op101,1579.79,8.06,54,Fastened,Yes,5.67,Sunny,Muddy,61.16,21:30,22:24,Drilling
2025-05-04 22:00,EXC001,Op102,1734.48,14.41,39,Fastened,No,3.58,Foggy,Muddy,99.38,22:00,22:39,Lifting
2025-05-04 22:30,EXC002,Op100,1691.48,8.3,45,Unfastened,Yes,2.09,Rainy,Smooth,59.03,22:30,23:15,Lifting
2025-05-04 23:00,EXC002,Op100,1739.52,13.31,20,Fastened,Yes,4.08,Rainy,Muddy,57.77,23:00,23:20,Digging
2025-05-04 23:30,EXC001,Op102,1575.7,10.14,44,Fastened,Yes,9.48,Sunny,Smooth,86.89,23:30,00:14,Digging
2025-05-05 00:00,EXC001,Op102,1663.58,13.47,52,Fastened,Yes,3.84,Foggy,Rocky,94.79,00:00,00:52,Transporting
2025-05-05 00:30,EXC003,Op101,1652.48,9.81,40,Unfastened,Yes,1.2,Sunny,Gravel,60.45,00:30,01:10,Lifting
2025-05-05 01:00,EXC002,Op100,1539.67,11.07,28,Fastened,No,8.33,Rainy,Muddy,73.08,01:00,01:28,Digging
2025-05-05 01:30,EXC003,Op101,1606.26,5.91,24,Unfastened,Yes,3.35,Rainy,Gravel,64.36,01:30,01:54,Lifting
2025-05-05 02:00,EXC003,Op101,1780.88,10.95,35,Fastened,No,1.16,Rainy,Muddy,97.25,02:00,02:35,Digging
2025-05-05 02:30,EXC001,Op101,1650.26,14.29,53,Fastened,Yes,8.27,Sunny,Muddy,75.26,02:30,03:23,Transporting
2025-05-05 03:00,EXC002,Op102,1662.95,10.42,43,Unfastened,Yes,2.07,Foggy,Smooth,92.98,03:00,03:43,Transporting
2025-05-05 03:30,EXC002,Op100,1588.53,14.09,35,Unfastened,No,5.3,Foggy,Smooth,63.96,03:30,04:05,Digging
2025-05-05 04:00,EXC003,Op101,1691.66,8.25,47,Unfastened,No,7.31,Rainy,Muddy,50.55,04:00,04:47,Leveling
2025-05-05 04:30,EXC002,Op101,1662.79,14.32,44,Fastened,Yes,4.4,Cloudy,Smooth,96.93,04:30,05:14,Leveling
2025-05-05 05:00,EXC003,Op100,1788.48,13.68,26,Fastened,No,2.29,Cloudy,Gravel,71.86,05:00,05:26,Drilling
2025-05-05 05:30,EXC003,Op101,1515.18,11.65,53,Fastened,Yes,6.19,Sunny,Muddy,50.71,05:30,06:23,Leveling
2025-05-05 06:00,EXC003,Op102,1618.02,11.56,40,Unfastened,No,9.29,Rainy,Muddy,59.4,06:00,06:40,Lifting
2025-05-05 06:30,EXC003,Op102,1541.62,11.85,24,Unfastened,Yes,6.75,Foggy,Rocky,74.27,06:30,06:54,Transporting
2025-05-05 07:00,EXC002,Op102,1718.15,6.89,42,Fastened,No,3.64,Foggy,Rocky,90.4,07:00,07:42,Lifting
2025-05-05 07:30,EXC002,Op101,1779.17,5.18,52,Unfastened,No,3.23,Rainy,Gravel,77.05,07:30,08:22,Lifting
2025-05-05 08:00,EXC001,Op102,1630.97,7.11,27,Fastened,Yes,5.82,Cloudy,Gravel,64.42,08:00,08:27,Leveling
2025-05-05 08:30,EXC003,Op102,1590.83,12.53,33,Unfastened,Yes,3.13,Sunny,Smooth,86.44,08:30,09:03,Digging
2025-05-05 09:00,EXC002,Op100,1538.72,12.66,49,Fastened,No,0.2,Rainy,Rocky,92.08,09:00,09:49,Transporting
